hjd,camera,mag,mag_err,flux,flux_err
2457939.06359,bc,14.238,0.02576,8.001,0.19
2458063.83901,bd,14.177,0.02549,8.184,0.192
2457687.84986,bc,14.249,0.02588,7.921,0.189
2458367.95983,bc,14.212,0.02548,8.195,0.192
2458442.77938,bd,14.279,0.02663,7.452,0.183
2457132.10665,bc,14.247,0.02585,7.933,0.189
2457633.96616,bc,14.213,0.02549,8.184,0.192
2457270.91061,bd,14.236,0.02613,7.753,0.186
2457213.0664,bc,14.314,0.02662,7.46,0.183
2457997.01328,bd,14.285,0.0267,7.41,0.182
2457528.0699,bd,14.329,0.02725,7.116,0.178
2458401.90656,bd,14.221,0.02596,7.859,0.188
2457706.7939,bc,14.316,0.02664,7.445,0.182
2457528.03991,bc,14.318,0.02667,7.433,0.182
2457201.96663,bd,14.203,0.02577,7.991,0.189
2457521.0858,bd,14.215,0.0259,7.905,0.188
2457136.12948,bd,14.188,0.02561,8.103,0.191
2457744.69407,bd,14.263,0.02644,7.56,0.184
2457950.03287,bc,14.304,0.0265,7.526,0.183
2457227.01322,bd,14.228,0.02604,7.813,0.187
2458048.75181,bc,14.219,0.02556,8.14,0.191
2457899.06503,bc,14.325,0.02675,7.382,0.182
2457012.71527,bd,14.216,0.02591,7.899,0.188
2457194.02303,bc,14.269,0.0261,7.778,0.187
2457681.86148,bd,14.283,0.02668,7.425,0.182
2457883.09608,bd,14.231,0.02607,7.791,0.187
2458026.73376,bc,14.26,0.02599,7.846,0.188
2457314.79125,bd,14.286,0.02671,7.404,0.182
2458317.03023,bc,14.341,0.02695,7.276,0.18
2457915.05532,bc,14.249,0.02588,7.923,0.189
2458310.9758,bd,14.255,0.02635,7.618,0.185
2457617.81232,bc,14.295,0.02639,7.589,0.184
2457639.90923,bc,14.356,0.02712,7.182,0.179
2458053.74336,bd,14.255,0.02635,7.623,0.185
2457342.78614,bc,14.309,0.02656,7.496,0.183
2457940.94221,bd,14.247,0.02626,7.675,0.185
2457499.13262,bd,14.471,0.02924,6.243,0.168
2457230.88389,bd,14.257,0.02637,7.603,0.184
2457246.92539,bc,14.249,0.02588,7.92,0.189
2457983.87349,bc,14.236,0.02574,8.019,0.19
2457374.72327,bd,14.316,0.02708,7.203,0.179
2457309.84396,bd,14.336,0.02734,7.074,0.178
2458059.82592,bd,14.24,0.02618,7.723,0.186
2457995.78504,bd,14.223,0.02599,7.846,0.188
2457489.13005,bc,14.222,0.02559,8.12,0.191
2458367.98325,bd,14.257,0.02637,7.606,0.185
2457721.74701,bc,14.238,0.02576,7.997,0.19
2457910.99036,bc,14.26,0.02599,7.845,0.188
2458383.9224,bd,14.386,0.02801,6.751,0.174
2458020.7227,bd,14.267,0.02649,7.535,0.184
2458430.77312,bc,14.279,0.02621,7.701,0.186
2457223.0176,bc,14.226,0.02563,8.089,0.191
2457134.11366,bc,14.297,0.02642,7.58,0.184
